process_group
pow_battery
pow_biogas_prod_a
pow_biogas_prod_b
pow_biogas_prod_c
pow_biogas_prod_d
pow_biogas_prod_de
pow_biogas_prod_e
pow_biogas_prod_f
pow_biogas_prod_g
pow_biosource_a
pow_biosource_b
pow_biosource_c
pow_biosource_d
pow_biosource_de
pow_biosource_e
pow_biosource_f
pow_biosource_g
pow_combustion_cc_biogas_a_1
pow_combustion_cc_biogas_de_1
pow_combustion_cc_biogas_de_2
pow_combustion_cc_biogas_g_1
pow_combustion_cc_biomass_de_1
pow_combustion_cc_biomass_de_2
pow_combustion_cc_biomass_de_3
pow_combustion_cc_chp_biogas_de_1
pow_combustion_cc_chp_biomass_de_1
pow_combustion_cc_chp_ccs_methane_a_1
pow_combustion_cc_chp_ccs_methane_a_2
pow_combustion_cc_chp_ccs_methane_de_1
pow_combustion_cc_chp_ccs_methane_de_2
pow_combustion_cc_chp_ccs_methane_g_1
pow_combustion_cc_chp_coal_a_1
pow_combustion_cc_chp_coal_b_1
pow_combustion_cc_chp_coal_c_1
pow_combustion_cc_chp_coal_d_1
pow_combustion_cc_chp_coal_de_1
pow_combustion_cc_chp_coal_e_1
pow_combustion_cc_chp_coal_f_1
pow_combustion_cc_chp_coal_g_1
pow_combustion_cc_chp_hydrogen_a_1
pow_combustion_cc_chp_hydrogen_b_1
pow_combustion_cc_chp_hydrogen_c_1
pow_combustion_cc_chp_hydrogen_d_1
pow_combustion_cc_chp_hydrogen_de_1
pow_combustion_cc_chp_hydrogen_e_1
pow_combustion_cc_chp_hydrogen_f_1
pow_combustion_cc_chp_hydrogen_g_1
pow_combustion_cc_chp_lignite_de_1
pow_combustion_cc_chp_lignite_e_1
pow_combustion_cc_chp_methane_a_1
pow_combustion_cc_chp_methane_a_2
pow_combustion_cc_chp_methane_b_1
pow_combustion_cc_chp_methane_b_2
pow_combustion_cc_chp_methane_c_1
pow_combustion_cc_chp_methane_c_2
pow_combustion_cc_chp_methane_d_1
pow_combustion_cc_chp_methane_d_2
pow_combustion_cc_chp_methane_de_1
pow_combustion_cc_chp_methane_de_2
pow_combustion_cc_chp_methane_de_3
pow_combustion_cc_chp_methane_e_1
pow_combustion_cc_chp_methane_e_2
