id;scenario;process;parameter;sector;category;specification;new;groups;input_groups;output_groups;year;unit;value
1;t_all_tokio_v03;a_b_pow_flow_1_ag;capacity_inst;a;b;pow;1;;;;2021;GW;0.636706419003585
2;t_all_tokio_v03;a_e_pow_flow_1_ag;capacity_inst;a;e;pow;1;;;;2021;GW;1.96116877652668
3;t_all_tokio_v03;a_f_pow_flow_1_ag;capacity_inst;a;f;pow;1;;;;2021;GW;1.96116877652668
4;t_all_tokio_v03;b_a_pow_flow_1_ag;capacity_inst;b;a;pow;1;;;;2021;GW;3.92233755305336
5;t_all_tokio_v03;b_c_pow_flow_1_ag;capacity_inst;b;c;pow;1;;;;2021;GW;1.96116877652668
6;t_all_tokio_v03;c_b_pow_flow_1_ag;capacity_inst;c;b;pow;1;;;;2021;GW;1.96116877652668
7;t_all_tokio_v03;c_d_pow_flow_1_ag;capacity_inst;c;d;pow;1;;;;2021;GW;23.5339397822781
8;t_all_tokio_v03;d_c_pow_flow_1_ag;capacity_inst;d;c;pow;1;;;;2021;GW;13.5697258160983
9;t_all_tokio_v03;d_e_pow_flow_1_ag;capacity_inst;d;e;pow;1;;;;2021;GW;27.0732524779297
10;t_all_tokio_v03;e_a_pow_flow_1_ag;capacity_inst;e;a;pow;1;;;;2021;GW;3.92233755305336
11;t_all_tokio_v03;e_f_pow_flow_1_ag;capacity_inst;e;f;pow;1;;;;2021;GW;0.980584388263341
12;t_all_tokio_v03;g_b_pow_flow_1_ag;capacity_inst;g;b;pow;1;;;;2021;GW;2.74563628713735
13;t_all_tokio_v03;x2x_x2liquid_source_biodiesel;capacity_inst;x2x;x2liquid;source;0;;;;2021;PJ;3.581178
14;t_all_tokio_v03;x2x_x2liquid_source_bioethanol;capacity_inst;x2x;x2liquid;source;0;;;;2021;PJ;0.412228
15;t_all_tokio_v03;x2x_x2liquid_source_biokerosene;capacity_inst;x2x;x2liquid;source;0;;;;2021;PJ;1.506849
16;t_all_tokio_v03;a_b_pow_flow_1_ag;capacity_inst;a;b;pow;1;;;;2024;GW;2.31204980269174
17;t_all_tokio_v03;a_e_pow_flow_1_ag;capacity_inst;a;e;pow;1;;;;2024;GW;1.96116877652668
18;t_all_tokio_v03;a_f_pow_flow_1_ag;capacity_inst;a;f;pow;1;;;;2024;GW;1.96116877652668
19;t_all_tokio_v03;a_pow_combustion_ic_biogas_1_ag;capacity_inst;a;pow;combustion;1;;;;2024;GW;1.56695729806095
20;t_all_tokio_v03;a_pow_combustion_st_biomass_1_ag;capacity_inst;a;pow;combustion;1;;;;2024;GW;2.52120912139517
21;t_all_tokio_v03;b_a_pow_flow_1_ag;capacity_inst;b;a;pow;1;;;;2024;GW;3.92233755305336
22;t_all_tokio_v03;b_c_pow_flow_1_ag;capacity_inst;b;c;pow;1;;;;2024;GW;1.96116877652668
23;t_all_tokio_v03;b_pow_combustion_ic_biogas_1_ag;capacity_inst;b;pow;combustion;1;;;;2024;GW;2.82342554727436
24;t_all_tokio_v03;b_pow_photovoltaic_fiel_gm_1_ag;capacity_inst;b;pow;photovoltaic;1;;;;2024;GW;90.891931760878
25;t_all_tokio_v03;c_b_pow_flow_1_ag;capacity_inst;c;b;pow;1;;;;2024;GW;1.96116877652668
26;t_all_tokio_v03;c_d_pow_flow_1_ag;capacity_inst;c;d;pow;1;;;;2024;GW;23.5339397822781
27;t_all_tokio_v03;c_pow_combustion_ic_biogas_1_ag;capacity_inst;c;pow;combustion;1;;;;2024;GW;0.454627898760989
28;t_all_tokio_v03;c_pow_combustion_st_biomass_1_ag;capacity_inst;c;pow;combustion;1;;;;2024;GW;0.824798358900282
29;t_all_tokio_v03;c_pow_wind_turbine_on_1_ag;capacity_inst;c;pow;wind;1;;;;2024;GW;4.39735066537127
30;t_all_tokio_v03;d_c_pow_flow_1_ag;capacity_inst;d;c;pow;1;;;;2024;GW;13.5697258160983
31;t_all_tokio_v03;d_e_pow_flow_1_ag;capacity_inst;d;e;pow;1;;;;2024;GW;27.0732524779297
32;t_all_tokio_v03;d_pow_combustion_ic_biogas_1_ag;capacity_inst;d;pow;combustion;1;;;;2024;GW;0.480520277691331
33;t_all_tokio_v03;d_pow_wind_turbine_on_1_ag;capacity_inst;d;pow;wind;1;;;;2024;GW;205.106009421011
34;t_all_tokio_v03;e_a_pow_flow_1_ag;capacity_inst;e;a;pow;1;;;;2024;GW;3.92233755305336
35;t_all_tokio_v03;e_f_pow_flow_1_ag;capacity_inst;e;f;pow;1;;;;2024;GW;0.980584388263341
36;t_all_tokio_v03;e_pow_combustion_ic_biogas_1_ag;capacity_inst;e;pow;combustion;1;;;;2024;GW;1.21089453894576
37;t_all_tokio_v03;e_pow_wind_turbine_on_1_ag;capacity_inst;e;pow;wind;1;;;;2024;GW;3.32358599744564
38;t_all_tokio_v03;f_a_pow_flow_1_ag;capacity_inst;f;a;pow;1;;;;2024;GW;1.0
39;t_all_tokio_v03;f_e_pow_flow_1_ag;capacity_inst;f;e;pow;1;;;;2024;GW;0.5
40;t_all_tokio_v03;f_pow_combustion_ic_biogas_1_ag;capacity_inst;f;pow;combustion;1;;;;2024;GW;0.547759501680215
41;t_all_tokio_v03;f_pow_combustion_st_biomass_1_ag;capacity_inst;f;pow;combustion;1;;;;2024;GW;1.87634340883751
42;t_all_tokio_v03;g_b_pow_flow_1_ag;capacity_inst;g;b;pow;1;;;;2024;GW;2.74563628713735
43;t_all_tokio_v03;g_pow_combustion_ic_biogas_1_ag;capacity_inst;g;pow;combustion;1;;;;2024;GW;1.15710500302106
44;t_all_tokio_v03;g_pow_wind_turbine_on_1_ag;capacity_inst;g;pow;wind;1;;;;2024;GW;49.8429563049692
45;t_all_tokio_v03;hea_cts_t1e_heat_exchanger_hth_1;capacity_inst;hea;cts;t1e;1;;;;2024;GW;3.01652772257977
46;t_all_tokio_v03;hea_cts_t1e_heater_boil_cd_gas_1;capacity_inst;hea;cts;t1e;1;;;;2024;GW;2.88632921782746
47;t_all_tokio_v03;hea_cts_t1e_heater_hp_air_1;capacity_inst;hea;cts;t1e;1;;;;2024;GW;68.1741815629143
48;t_all_tokio_v03;hea_cts_t1e_savings_1;capacity_inst;hea;cts;t1e;1;;;;2024;PJ;7.3989514628784
49;t_all_tokio_v03;hea_cts_t1n_heat_exchanger_hth_1;capacity_inst;hea;cts;t1n;1;;;;2024;GW;0.443993211046308
50;t_all_tokio_v03;hea_cts_t1n_water_heating_boil_et_1;capacity_inst;hea;cts;t1n;1;;;;2024;GW;0.045613256232497
51;t_all_tokio_v03;hea_cts_t2e_savings_1;capacity_inst;hea;cts;t2e;1;;;;2024;PJ;3.80517503805175
52;t_all_tokio_v03;hea_cts_t2n_heat_exchanger_hth_1;capacity_inst;hea;cts;t2n;1;;;;2024;GW;0.0418281755894466
53;t_all_tokio_v03;hea_cts_t2n_water_heating_boil_et_1;capacity_inst;hea;cts;t2n;1;;;;2024;GW;0.0340858933335487
54;t_all_tokio_v03;hea_district_heating_solar_LTH_1;capacity_inst;hea;district;heating;1;;;;2024;GW;0.158548959918823
55;t_all_tokio_v03;hea_hh_me1_heat_exchanger_hth_1;capacity_inst;hea;hh;me1;1;;;;2024;GW;3.87645469346866
56;t_all_tokio_v03;hea_hh_me1_water_heating_boil_et_1;capacity_inst;hea;hh;me1;1;;;;2024;GW;13.0589624404092
57;t_all_tokio_v03;hea_hh_me2_heat_exchanger_hth_1;capacity_inst;hea;hh;me2;1;;;;2024;GW;12.5325259251484
58;t_all_tokio_v03;hea_hh_me2_heater_hp_gro_1;capacity_inst;hea;hh;me2;1;;;;2024;GW;0.131065131912735
59;t_all_tokio_v03;hea_hh_me2_water_heating_boil_et_1;capacity_inst;hea;hh;me2;1;;;;2024;GW;2.73614652307465
60;t_all_tokio_v03;hea_hh_me3_heat_exchanger_hth_1;capacity_inst;hea;hh;me3;1;;;;2024;GW;1.54701755412337
61;t_all_tokio_v03;hea_hh_me3_heater_hp_air_1;capacity_inst;hea;hh;me3;1;;;;2024;GW;0.00192351598173516
62;t_all_tokio_v03;hea_hh_me3_water_heating_boil_et_1;capacity_inst;hea;hh;me3;1;;;;2024;GW;0.916836533631189
63;t_all_tokio_v03;hea_hh_mn1_cooling_centralized_air_con_1;capacity_inst;hea;hh;mn1;1;;;;2024;GW;0.0563729635266926
64;t_all_tokio_v03;hea_hh_mn1_heat_exchanger_hth_1;capacity_inst;hea;hh;mn1;1;;;;2024;GW;0.993830765196472
65;t_all_tokio_v03;hea_hh_mn1_water_heating_boil_et_1;capacity_inst;hea;hh;mn1;1;;;;2024;GW;1.36875059535313
66;t_all_tokio_v03;hea_hh_re1_water_heating_boil_et_1;capacity_inst;hea;hh;re1;1;;;;2024;GW;1.93147804631171
67;t_all_tokio_v03;hea_hh_re3_heater_stov_wood_1;capacity_inst;hea;hh;re3;1;;;;2024;GW;0.574935635301618
68;t_all_tokio_v03;hea_hh_rn1_heater_et_boil_mono_1;capacity_inst;hea;hh;rn1;1;;;;2024;GW;1.83599695585997
69;t_all_tokio_v03;hea_hh_rn1_heater_hp_air_1;capacity_inst;hea;hh;rn1;1;;;;2024;GW;0.110984271943176
70;t_all_tokio_v03;hea_hh_rn1_water_heating_boil_et_1;capacity_inst;hea;hh;rn1;1;;;;2024;GW;0.634195839675292
71;t_all_tokio_v03;hea_hh_ue1_heat_exchanger_hth_1;capacity_inst;hea;hh;ue1;1;;;;2024;GW;16.3708175528196
72;t_all_tokio_v03;hea_hh_ue2_heat_exchanger_hth_1;capacity_inst;hea;hh;ue2;1;;;;2024;GW;5.10259899349663
73;t_all_tokio_v03;hea_hh_ue3_heat_exchanger_hth_1;capacity_inst;hea;hh;ue3;1;;;;2024;GW;3.37801688818191
74;t_all_tokio_v03;hea_hh_un1_heater_et_boil_mono_1;capacity_inst;hea;hh;un1;1;;;;2024;GW;2.15309487569762
75;t_all_tokio_v03;hea_hh_un1_heater_hp_gro_1;capacity_inst;hea;hh;un1;1;;;;2024;GW;0.110984271943176
76;t_all_tokio_v03;hea_hh_un1_water_heating_boil_et_1;capacity_inst;hea;hh;un1;1;;;;2024;GW;0.634195839675292
77;t_all_tokio_v03;helper_ind_chemi_steam;capacity_inst;helper;ind;chemi;0;;;;2024;PJ;26.8291547231226
78;t_all_tokio_v03;ind_automobile_furnace_heat_proc_bio_1;capacity_inst;ind;automobile;furnace;1;;;;2024;GW;0.646942975780395
79;t_all_tokio_v03;ind_automobile_hcv_bev_btry_1;capacity_inst;ind;automobile;hcv;1;;;;2024;Million units;0.0136842105263158
80;t_all_tokio_v03;ind_automobile_hcv_bev_pnts_intg_1;capacity_inst;ind;automobile;hcv;1;;;;2024;Million units;0.0136842105263158
81;t_all_tokio_v03;ind_automobile_hcv_icev_pnts_intg_1;capacity_inst;ind;automobile;hcv;1;;;;2024;Million units;0.0417894736842105
82;t_all_tokio_v03;ind_automobile_heatpump_hot_water_elc_1;capacity_inst;ind;automobile;heatpump;1;;;;2024;GW;0.16455635671958
83;t_all_tokio_v03;ind_automobile_heatpump_space_heat_elc_1;capacity_inst;ind;automobile;heatpump;1;;;;2024;GW;0.650510302159084
84;t_all_tokio_v03;ind_automobile_hvlt_1;capacity_inst;ind;automobile;hvlt;1;;;;2024;GW;0.222260273972603
85;t_all_tokio_v03;ind_automobile_lcv_bev_btry_1;capacity_inst;ind;automobile;lcv;1;;;;2024;Million units;0.0473684210526316
86;t_all_tokio_v03;ind_automobile_lcv_bev_pnts_intg_1;capacity_inst;ind;automobile;lcv;1;;;;2024;Million units;0.0473684210526316
87;t_all_tokio_v03;ind_automobile_lcv_icev_pnts_intg_1;capacity_inst;ind;automobile;lcv;1;;;;2024;Million units;0.0190526315789474
88;t_all_tokio_v03;ind_automobile_mcmp_1;capacity_inst;ind;automobile;mcmp;1;;;;2024;GW;0.0369769286229272
89;t_all_tokio_v03;ind_automobile_pc_bev_btry_1;capacity_inst;ind;automobile;pc;1;;;;2024;Million units;0.549157894736842
90;t_all_tokio_v03;ind_automobile_pc_bev_pnts_intg_1;capacity_inst;ind;automobile;pc;1;;;;2024;Million units;0.503789473684211
91;t_all_tokio_v03;ind_automobile_pc_icev_pnts_intg_1;capacity_inst;ind;automobile;pc;1;;;;2024;Million units;0.702421052631579
92;t_all_tokio_v03;ind_automobile_pc_phev_btry_1;capacity_inst;ind;automobile;pc;1;;;;2024;Million units;0.28
93;t_all_tokio_v03;ind_automobile_pc_phev_pnts_intg_1;capacity_inst;ind;automobile;pc;1;;;;2024;Million units;0.211157894736842
94;t_all_tokio_v03;ind_autoproducer_waste_municipal_bio_1;capacity_inst;ind;autoproducer;waste;1;;;;2024;GW;0.584166339906529
95;t_all_tokio_v03;ind_cement_finish_1;capacity_inst;ind;cement;finish;1;;;;2024;Mt;0.921052631578947
96;t_all_tokio_v03;ind_cement_rawmats_1;capacity_inst;ind;cement;rawmats;1;;;;2024;Mt;1.0861052631579
97;t_all_tokio_v03;ind_cement_rk_1;capacity_inst;ind;cement;rk;1;;;;2024;Mt;0.635157894736843
98;t_all_tokio_v03;ind_chemical_echem_1;capacity_inst;ind;chemical;echem;1;;;;2024;PJ;7.70722105263158
99;t_all_tokio_v03;ind_chemical_mdrive_1;capacity_inst;ind;chemical;mdrive;1;;;;2024;PJ;9.64240588235293
100;t_all_tokio_v03;ind_chemical_process_heat_bio_1;capacity_inst;ind;chemical;process;1;;;;2024;GW;0.451459028761893
101;t_all_tokio_v03;ind_chemical_process_heat_coal_1;capacity_inst;ind;chemical;process;1;;;;2024;GW;0.279710204532642
102;t_all_tokio_v03;ind_chemical_processes_others_bio_1;capacity_inst;ind;chemical;processes;1;;;;2024;PJ;56.5196181958464
103;t_all_tokio_v03;ind_chemical_processes_others_cog_1;capacity_inst;ind;chemical;processes;1;;;;2024;PJ;24.3969305710713
104;t_all_tokio_v03;ind_chemical_steam_coal_1;capacity_inst;ind;chemical;steam;1;;;;2024;GW;0.504459003972206
105;t_all_tokio_v03;ind_copper_sec_1;capacity_inst;ind;copper;sec;1;;;;2024;Mt;0.002
106;t_all_tokio_v03;ind_glass_cont_batchplant_1;capacity_inst;ind;glass;cont;1;;;;2024;Mt;1.1454
107;t_all_tokio_v03;ind_glass_cont_forming_1;capacity_inst;ind;glass;cont;1;;;;2024;Mt;1.1454
108;t_all_tokio_v03;ind_glass_cont_recu_1;capacity_inst;ind;glass;cont;1;;;;2024;Mt;0.640099999999999
109;t_all_tokio_v03;ind_glass_fibe_1;capacity_inst;ind;glass;fibe;1;;;;2024;Mt;0.3391
110;t_all_tokio_v03;ind_glass_flat_batchplant_1;capacity_inst;ind;glass;flat;1;;;;2024;Mt;0.1807
111;t_all_tokio_v03;ind_glass_flat_fin_1;capacity_inst;ind;glass;flat;1;;;;2024;Mt;0.1807
112;t_all_tokio_v03;ind_glass_flat_forming_1;capacity_inst;ind;glass;flat;1;;;;2024;Mt;0.1807
113;t_all_tokio_v03;ind_glass_flat_rege_1;capacity_inst;ind;glass;flat;1;;;;2024;Mt;0.1807
114;t_all_tokio_v03;ind_glass_spec_1;capacity_inst;ind;glass;spec;1;;;;2024;Mt;0.0716
115;t_all_tokio_v03;ind_other_cool_elec_1;capacity_inst;ind;other;cool;1;;;;2024;GW;1.26378814408301
116;t_all_tokio_v03;ind_other_ind_boiler_waste_1;capacity_inst;ind;other;ind;1;;;;2024;GW;3.86990530879578
117;t_all_tokio_v03;ind_other_kiln_gas_1;capacity_inst;ind;other;kiln;1;;;;2024;PJ;20.1256497944056
118;t_all_tokio_v03;ind_other_light_elc_1;capacity_inst;ind;other;light;1;;;;2024;PJ;13.1834865556446
119;t_all_tokio_v03;ind_other_mdrive_elec_1;capacity_inst;ind;other;mdrive;1;;;;2024;PJ;174.701945518478
120;t_all_tokio_v03;ind_other_pump_fans_elec_1;capacity_inst;ind;other;pump;1;;;;2024;GW;0.23648730020565
121;t_all_tokio_v03;ind_other_steam_bio_1;capacity_inst;ind;other;steam;1;;;;2024;GW;7.07277518733393
122;t_all_tokio_v03;ind_paper_rec_pulp_1;capacity_inst;ind;paper;rec;1;;;;2024;Mt;2.05752173913044
123;t_all_tokio_v03;ind_steel_blafu_1;capacity_inst;ind;steel;blafu;1;;;;2024;Mt;19.8087781758322
124;t_all_tokio_v03;ind_steel_casting_1;capacity_inst;ind;steel;casting;1;;;;2024;Mt;0.325000000000003
125;t_all_tokio_v03;ind_steel_elefu_1;capacity_inst;ind;steel;elefu;1;;;;2024;Mt;11.3019
126;t_all_tokio_v03;ind_steel_sinter_1;capacity_inst;ind;steel;sinter;1;;;;2024;Mt;4.26898762816
127;t_all_tokio_v03;pow_combustion_st_chp_biomass_14;capacity_inst;pow;combustion;st;1;;;;2024;GW;2.67276577414517
128;t_all_tokio_v03;pow_combustion_st_chp_biomass_15;capacity_inst;pow;combustion;st;1;;;;2024;GW;1.68324126709717
129;t_all_tokio_v03;pow_photovoltaic_fiel_gm_19;capacity_inst;pow;photovoltaic;fiel;1;;;;2024;GW;7.53797293916865
130;t_all_tokio_v03;pow_wind_turbine_on_13;capacity_inst;pow;wind;turbine;1;;;;2024;GW;0.404972195116
131;t_all_tokio_v03;pow_wind_turbine_on_19;capacity_inst;pow;wind;turbine;1;;;;2024;GW;1.7191
132;t_all_tokio_v03;tra_air_ice_pass_inter_kerosene_1;capacity_inst;tra;air;ice;1;;;;2024;Vehicle unit;13.8229315617566
133;t_all_tokio_v03;tra_rail_bemu_pass_long_1;capacity_inst;tra;rail;bemu;1;;;;2024;Vehicle unit;214.748278588808
134;t_all_tokio_v03;tra_rail_ice_frei_short_ethanol_1;capacity_inst;tra;rail;ice;1;;;;2024;Vehicle unit;413.789834706807
135;t_all_tokio_v03;tra_rail_oev_frei_long_1;capacity_inst;tra;rail;oev;1;;;;2024;Vehicle unit;216.805358225239
136;t_all_tokio_v03;tra_rail_oev_pass_short_1;capacity_inst;tra;rail;oev;1;;;;2024;Vehicle unit;1868.17103683024
